status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group
0-200 DM,24,all paid,education,1837,A61,4-7 years,4,A92,A101,4,A124,34,A141,A153,1,A172,1,A191,A201,0,26-35
no account,36,existing paid,furniture/equipment,3349,A61,1-4 years,4,A92,A101,2,A123,28,A143,A152,1,A174,1,A192,A201,0,26-35
>=200 DM,10,existing paid,furniture/equipment,1275,A61,<1 year,4,A92,A101,2,A122,23,A143,A152,1,A173,1,A191,A201,1,18-25
<0 DM,24,all paid,furniture/equipment,2828,A63,1-4 years,4,A93,A101,4,A121,22,A142,A152,1,A173,1,A192,A201,1,18-25
no account,24,critical/other,business,4526,A61,1-4 years,3,A93,A101,2,A121,74,A143,A152,1,A174,1,A192,A201,1,66+
0-200 DM,36,existing paid,radio/TV,2671,A62,1-4 years,4,A92,A102,4,A124,50,A143,A153,1,A173,1,A191,A201,0,46-55
no account,18,existing paid,radio/TV,2051,A61,<1 year,4,A93,A101,1,A121,33,A143,A152,1,A173,1,A191,A201,1,26-35
no account,15,existing paid,car (used),1300,A65,>=7 years,4,A93,A101,4,A124,45,A141,A153,1,A173,2,A191,A201,1,36-45
<0 DM,12,existing paid,domestic appliances,741,A62,unemployed,4,A92,A101,3,A122,22,A143,A152,1,A173,1,A191,A201,0,18-25
>=200 DM,10,existing paid,car (new),1240,A62,>=7 years,1,A92,A101,4,A124,48,A143,A153,1,A172,2,A191,A201,0,46-55
<0 DM,21,existing paid,radio/TV,3357,A64,<1 year,4,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1,26-35
<0 DM,24,all paid,car (used),3632,A61,1-4 years,1,A92,A103,4,A123,22,A141,A151,1,A173,1,A191,A202,1,18-25
no account,18,delay paid,furniture/equipment,1808,A61,4-7 years,4,A92,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,0,18-25
0-200 DM,48,no credits/all paid,business,12204,A65,1-4 years,2,A93,A101,2,A123,48,A141,A152,1,A174,1,A192,A201,1,46-55
0-200 DM,60,delay paid,radio/TV,9157,A65,1-4 years,2,A93,A101,2,A124,27,A143,A153,1,A174,1,A191,A201,1,26-35
<0 DM,6,critical/other,car (new),3676,A61,1-4 years,1,A93,A101,3,A121,37,A143,A151,3,A173,2,A191,A201,1,36-45
0-200 DM,30,existing paid,furniture/equipment,3441,A62,1-4 years,2,A92,A102,4,A123,21,A143,A151,1,A173,1,A191,A201,0,18-25
no account,12,existing paid,car (new),640,A61,1-4 years,4,A91,A101,2,A121,49,A143,A152,1,A172,1,A191,A201,1,46-55
0-200 DM,21,critical/other,business,3652,A61,4-7 years,2,A93,A101,3,A122,27,A143,A152,2,A173,1,A191,A201,1,26-35
no account,18,critical/other,car (new),1530,A61,1-4 years,3,A93,A101,2,A122,32,A141,A152,2,A173,1,A191,A201,0,26-35
no account,48,existing paid,business,3914,A65,1-4 years,4,A91,A101,2,A121,38,A141,A152,1,A173,1,A191,A201,0,36-45
<0 DM,12,existing paid,furniture/equipment,1858,A61,<1 year,4,A92,A101,1,A123,22,A143,A151,1,A173,1,A191,A201,1,18-25
<0 DM,18,existing paid,radio/TV,2600,A61,1-4 years,4,A93,A101,4,A124,65,A143,A153,2,A173,1,A191,A201,0,56-65
no account,15,existing paid,radio/TV,1979,A65,>=7 years,4,A93,A101,2,A123,35,A143,A152,1,A173,1,A191,A201,1,26-35
>=200 DM,6,existing paid,furniture/equipment,2116,A61,1-4 years,2,A93,A101,2,A121,41,A143,A152,1,A173,1,A192,A201,1,36-45
0-200 DM,9,all paid,car (new),1437,A62,4-7 years,2,A93,A101,3,A124,29,A143,A152,1,A173,1,A191,A201,0,26-35
no account,42,critical/other,furniture/equipment,4042,A63,1-4 years,4,A93,A101,4,A121,36,A143,A152,2,A173,1,A192,A201,1,36-45
no account,9,existing paid,education,3832,A65,>=7 years,1,A93,A101,4,A121,64,A143,A152,1,A172,1,A191,A201,1,56-65
<0 DM,24,existing paid,radio/TV,3660,A61,1-4 years,2,A92,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,18,all paid,furniture/equipment,1553,A61,1-4 years,4,A93,A101,3,A123,44,A141,A152,1,A173,1,A191,A201,0,36-45
0-200 DM,15,existing paid,radio/TV,1444,A65,<1 year,4,A93,A101,1,A122,23,A143,A152,1,A173,1,A191,A201,1,18-25
no account,9,existing paid,furniture/equipment,1980,A61,<1 year,2,A92,A102,2,A123,19,A143,A151,2,A173,1,A191,A201,0,18-25
0-200 DM,24,existing paid,car (new),1355,A61,<1 year,3,A92,A101,4,A123,25,A143,A152,1,A172,1,A192,A201,0,18-25
no account,12,existing paid,education,1393,A61,>=7 years,4,A93,A101,4,A122,47,A141,A152,3,A173,2,A192,A201,1,46-55
no account,24,existing paid,radio/TV,1376,A63,4-7 years,4,A92,A101,1,A123,28,A143,A152,1,A173,1,A191,A201,1,26-35
no account,60,delay paid,radio/TV,15653,A61,4-7 years,2,A93,A101,4,A123,21,A143,A152,2,A173,1,A192,A201,1,18-25
no account,12,existing paid,radio/TV,1493,A61,<1 year,4,A92,A101,3,A123,34,A143,A152,1,A173,2,A191,A201,1,26-35
<0 DM,42,delay paid,radio/TV,4370,A61,4-7 years,3,A93,A101,2,A122,26,A141,A152,2,A173,2,A192,A201,0,26-35
<0 DM,18,existing paid,education,750,A61,unemployed,4,A92,A101,1,A121,27,A143,A152,1,A171,1,A191,A201,0,26-35
0-200 DM,15,existing paid,repairs,1308,A61,>=7 years,4,A93,A101,4,A123,38,A143,A152,2,A172,1,A191,A201,1,36-45
no account,15,existing paid,education,4623,A62,1-4 years,3,A93,A101,2,A122,40,A143,A152,1,A174,1,A192,A201,0,36-45
no account,24,critical/other,radio/TV,1851,A61,4-7 years,4,A94,A103,2,A123,33,A143,A152,2,A173,1,A192,A201,1,26-35
<0 DM,18,critical/other,radio/TV,1880,A61,4-7 years,4,A94,A101,1,A122,32,A143,A152,2,A174,1,A192,A201,1,26-35
no account,36,delay paid,business,7980,A65,<1 year,4,A93,A101,4,A123,27,A143,A151,2,A173,1,A192,A201,0,26-35
<0 DM,30,no credits/all paid,furniture/equipment,4583,A61,1-4 years,2,A91,A103,2,A121,32,A143,A152,2,A173,1,A191,A201,1,26-35
no account,12,existing paid,car (new),1386,A63,1-4 years,2,A92,A101,2,A122,26,A143,A152,1,A173,1,A191,A201,0,26-35
>=200 DM,24,existing paid,car (new),947,A61,4-7 years,4,A93,A101,3,A124,38,A141,A153,1,A173,2,A191,A201,0,36-45
<0 DM,12,existing paid,education,684,A61,1-4 years,4,A93,A101,4,A123,40,A143,A151,1,A172,2,A191,A201,0,36-45
<0 DM,48,existing paid,education,7476,A61,4-7 years,4,A93,A101,1,A124,50,A143,A153,1,A174,1,A192,A201,1,46-55
0-200 DM,12,existing paid,furniture/equipment,1922,A61,1-4 years,4,A93,A101,2,A122,37,A143,A152,1,A172,1,A191,A201,0,36-45
<0 DM,24,existing paid,car (new),2303,A61,>=7 years,4,A93,A102,1,A121,45,A143,A152,1,A173,1,A191,A201,0,36-45
0-200 DM,36,delay paid,car (new),8086,A62,>=7 years,2,A93,A101,4,A123,42,A143,A152,4,A174,1,A192,A201,0,36-45
no account,24,critical/other,car (used),2346,A61,4-7 years,4,A93,A101,3,A123,35,A143,A152,2,A173,1,A192,A201,1,26-35
<0 DM,14,existing paid,car (new),3973,A61,unemployed,1,A93,A101,4,A124,22,A143,A153,1,A173,1,A191,A201,1,18-25
0-200 DM,12,existing paid,car (new),888,A61,>=7 years,4,A93,A101,4,A123,41,A141,A152,1,A172,2,A191,A201,0,36-45
no account,48,existing paid,radio/TV,10222,A65,4-7 years,4,A93,A101,3,A123,37,A142,A152,1,A173,1,A192,A201,1,36-45
0-200 DM,30,no credits/all paid,business,4221,A61,1-4 years,2,A92,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,1,26-35
0-200 DM,18,critical/other,furniture/equipment,6361,A61,>=7 years,2,A93,A101,1,A124,41,A143,A152,1,A173,1,A192,A201,1,36-45
>=200 DM,12,existing paid,radio/TV,1297,A61,1-4 years,3,A94,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,1,18-25
<0 DM,12,existing paid,car (new),900,A65,1-4 years,4,A94,A101,2,A123,23,A143,A152,1,A173,1,A191,A201,0,18-25
no account,21,existing paid,furniture/equipment,2241,A61,>=7 years,4,A93,A101,2,A121,50,A143,A152,2,A173,1,A191,A201,1,46-55
0-200 DM,6,delay paid,furniture/equipment,1050,A61,unemployed,4,A93,A101,1,A122,35,A142,A152,2,A174,1,A192,A201,1,26-35
>=200 DM,6,critical/other,education,1047,A61,1-4 years,2,A92,A101,4,A122,50,A143,A152,1,A172,1,A191,A201,1,46-55
no account,24,critical/other,others,6314,A61,unemployed,4,A93,A102,2,A124,27,A141,A152,2,A174,1,A192,A201,1,26-35
0-200 DM,30,all paid,furniture/equipment,3496,A64,1-4 years,4,A93,A101,2,A123,34,A142,A152,1,A173,2,A192,A201,1,26-35
no account,48,all paid,business,3609,A61,1-4 years,1,A92,A101,1,A121,27,A142,A152,1,A173,1,A191,A201,1,26-35
<0 DM,12,critical/other,car (new),4843,A61,>=7 years,3,A93,A102,4,A122,43,A143,A151,2,A173,1,A192,A201,0,36-45
>=200 DM,30,critical/other,radio/TV,3017,A61,>=7 years,4,A93,A101,4,A122,47,A143,A152,1,A173,1,A191,A201,1,46-55
no account,24,critical/other,business,4139,A62,1-4 years,3,A93,A101,3,A122,27,A143,A152,2,A172,1,A192,A201,1,26-35
no account,36,existing paid,business,5742,A62,4-7 years,2,A93,A101,2,A123,31,A143,A152,2,A173,1,A192,A201,1,26-35
no account,60,existing paid,car (new),10366,A61,>=7 years,2,A93,A101,4,A122,42,A143,A152,1,A174,1,A192,A201,1,36-45
no account,6,critical/other,car (new),2080,A63,1-4 years,1,A94,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1,18-25
no account,21,delay paid,business,2580,A63,<1 year,4,A93,A101,2,A121,41,A141,A152,1,A172,2,A191,A201,0,36-45
no account,30,critical/other,radio/TV,4530,A61,4-7 years,4,A92,A101,4,A123,26,A143,A151,1,A174,1,A192,A201,1,26-35
no account,24,critical/other,furniture/equipment,5150,A61,>=7 years,4,A93,A101,4,A123,33,A143,A152,1,A173,1,A192,A201,1,26-35
0-200 DM,72,existing paid,radio/TV,5595,A62,1-4 years,2,A94,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,0,18-25
<0 DM,24,existing paid,radio/TV,2384,A61,>=7 years,4,A93,A101,4,A121,64,A141,A151,1,A172,1,A191,A201,1,56-65
no account,18,existing paid,radio/TV,1453,A61,<1 year,3,A92,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,1,26-35
no account,6,existing paid,education,1538,A61,<1 year,1,A92,A101,2,A124,56,A143,A152,1,A173,1,A191,A201,1,56-65
no account,12,existing paid,radio/TV,2279,A65,1-4 years,4,A93,A101,4,A124,37,A143,A153,1,A173,1,A192,A201,1,36-45
no account,15,delay paid,radio/TV,1478,A61,1-4 years,4,A94,A101,3,A121,33,A141,A152,2,A173,1,A191,A201,1,26-35
no account,24,critical/other,radio/TV,5103,A61,<1 year,3,A94,A101,3,A124,47,A143,A153,3,A173,1,A192,A201,1,46-55
0-200 DM,36,delay paid,business,9857,A62,4-7 years,1,A93,A101,3,A122,31,A143,A152,2,A172,2,A192,A201,1,26-35
no account,60,existing paid,car (new),6527,A65,1-4 years,4,A93,A101,4,A124,34,A143,A153,1,A173,2,A192,A201,1,26-35
>=200 DM,10,critical/other,radio/TV,1347,A65,4-7 years,4,A93,A101,2,A122,27,A143,A152,2,A173,1,A192,A201,1,26-35
0-200 DM,36,delay paid,car (new),2862,A62,>=7 years,4,A93,A101,3,A124,30,A143,A153,1,A173,1,A191,A201,1,26-35
no account,9,existing paid,radio/TV,2753,A62,>=7 years,3,A93,A102,4,A123,35,A143,A152,1,A173,1,A192,A201,1,26-35
<0 DM,12,existing paid,car (new),3651,A64,1-4 years,1,A93,A101,3,A122,31,A143,A152,1,A173,2,A191,A201,1,26-35
<0 DM,15,critical/other,furniture/equipment,975,A61,1-4 years,2,A91,A101,3,A122,25,A143,A152,2,A173,1,A191,A201,1,18-25
0-200 DM,15,existing paid,repairs,2631,A62,1-4 years,3,A92,A101,2,A121,25,A143,A152,1,A172,1,A191,A201,1,18-25
0-200 DM,24,existing paid,radio/TV,2896,A62,<1 year,2,A93,A101,1,A123,29,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,6,critical/other,car (new),4716,A65,<1 year,1,A93,A101,3,A121,44,A143,A152,2,A172,2,A191,A201,1,36-45
no account,24,existing paid,radio/TV,2284,A61,4-7 years,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A192,A201,1,26-35
no account,6,existing paid,car (used),1236,A63,1-4 years,2,A93,A101,4,A122,50,A143,A151,1,A173,1,A191,A201,1,46-55
0-200 DM,12,existing paid,radio/TV,1103,A61,4-7 years,4,A93,A103,3,A121,29,A143,A152,2,A173,1,A191,A202,1,26-35
no account,12,critical/other,car (new),926,A61,unemployed,1,A92,A101,2,A122,38,A143,A152,1,A171,1,A191,A201,1,36-45
no account,18,critical/other,radio/TV,1800,A61,1-4 years,4,A93,A101,2,A123,24,A143,A152,2,A173,1,A191,A201,1,18-25
>=200 DM,15,existing paid,education,1905,A61,>=7 years,4,A93,A101,4,A123,40,A143,A151,1,A174,1,A192,A201,1,36-45
no account,12,existing paid,furniture/equipment,1123,A63,1-4 years,4,A92,A101,4,A123,29,A143,A151,1,A172,1,A191,A201,0,26-35
<0 DM,48,critical/other,car (used),6331,A61,>=7 years,4,A93,A101,4,A124,46,A143,A153,2,A173,1,A192,A201,0,46-55
>=200 DM,24,existing paid,radio/TV,1377,A62,>=7 years,4,A92,A101,2,A124,47,A143,A153,1,A173,1,A192,A201,1,46-55
0-200 DM,30,delay paid,business,2503,A62,>=7 years,4,A93,A101,2,A122,41,A142,A152,2,A173,1,A191,A201,1,36-45
0-200 DM,27,existing paid,business,2528,A61,<1 year,4,A92,A101,1,A122,32,A143,A152,1,A173,2,A192,A201,1,26-35
no account,15,existing paid,car (new),5324,A63,>=7 years,1,A92,A101,4,A124,35,A143,A153,1,A173,1,A191,A201,1,26-35
0-200 DM,48,existing paid,car (new),6560,A62,4-7 years,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,0,18-25
0-200 DM,12,no credits/all paid,furniture/equipment,2969,A61,<1 year,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A191,A201,0,18-25
0-200 DM,9,existing paid,radio/TV,1206,A61,>=7 years,4,A92,A101,4,A121,25,A143,A152,1,A173,1,A191,A201,1,18-25
0-200 DM,9,existing paid,radio/TV,2118,A61,1-4 years,2,A93,A101,2,A121,37,A143,A152,1,A172,2,A191,A201,1,36-45
no account,18,critical/other,radio/TV,629,A63,>=7 years,4,A93,A101,3,A122,32,A141,A152,2,A174,1,A192,A201,1,26-35
<0 DM,6,all paid,education,1198,A61,>=7 years,4,A92,A101,4,A124,35,A143,A153,1,A173,1,A191,A201,0,26-35
no account,21,existing paid,car (used),2476,A65,>=7 years,4,A93,A101,4,A121,46,A143,A152,1,A174,1,A192,A201,1,46-55
<0 DM,9,critical/other,radio/TV,1138,A61,1-4 years,4,A93,A101,4,A121,25,A143,A152,2,A172,1,A191,A201,1,18-25
0-200 DM,60,existing paid,car (new),14027,A61,4-7 years,4,A93,A101,2,A124,27,A143,A152,1,A174,1,A192,A201,0,26-35
no account,30,critical/other,car (used),7596,A65,>=7 years,1,A93,A101,4,A123,63,A143,A152,2,A173,1,A191,A201,1,56-65
no account,30,critical/other,radio/TV,3077,A65,>=7 years,3,A93,A101,2,A123,40,A143,A152,2,A173,2,A192,A201,1,36-45
no account,18,existing paid,radio/TV,1505,A61,1-4 years,4,A93,A101,2,A124,32,A143,A153,1,A174,1,A192,A201,1,26-35
>=200 DM,24,critical/other,radio/TV,3148,A65,1-4 years,3,A93,A101,2,A123,31,A143,A152,2,A173,1,A192,A201,1,26-35
0-200 DM,20,no credits/all paid,car (used),6148,A62,>=7 years,3,A94,A101,4,A123,31,A141,A152,2,A173,1,A192,A201,1,26-35
>=200 DM,9,no credits/all paid,radio/TV,1337,A61,<1 year,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,0,26-35
0-200 DM,6,all paid,education,433,A64,<1 year,4,A92,A101,2,A122,24,A141,A151,1,A173,2,A191,A201,0,18-25
<0 DM,12,existing paid,car (new),1228,A61,1-4 years,4,A92,A101,2,A121,24,A143,A152,1,A172,1,A191,A201,0,18-25
0-200 DM,9,existing paid,radio/TV,790,A63,1-4 years,4,A92,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,1,66+
no account,27,existing paid,car (new),2570,A61,1-4 years,3,A92,A101,3,A121,21,A143,A151,1,A173,1,A191,A201,0,18-25
no account,6,critical/other,car (new),250,A64,1-4 years,2,A92,A101,2,A121,41,A141,A152,2,A172,1,A191,A201,1,36-45
no account,15,critical/other,radio/TV,1316,A63,1-4 years,2,A94,A101,2,A122,47,A143,A152,2,A172,1,A191,A201,1,46-55
<0 DM,18,existing paid,radio/TV,1882,A61,1-4 years,4,A92,A101,4,A123,25,A141,A151,2,A173,1,A191,A201,0,18-25
0-200 DM,48,all paid,business,6416,A61,>=7 years,4,A92,A101,3,A124,59,A143,A151,1,A173,1,A191,A201,0,56-65
>=200 DM,24,critical/other,business,1275,A64,1-4 years,2,A91,A101,4,A121,36,A143,A152,2,A173,1,A192,A201,1,36-45
0-200 DM,24,delay paid,radio/TV,6403,A61,<1 year,1,A93,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,24,existing paid,radio/TV,1987,A61,1-4 years,2,A93,A101,4,A121,21,A143,A151,1,A172,2,A191,A201,0,18-25
0-200 DM,8,existing paid,radio/TV,760,A61,4-7 years,4,A92,A103,2,A121,44,A143,A152,1,A172,1,A191,A201,1,36-45
no account,24,existing paid,car (used),2603,A64,1-4 years,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A192,A201,1,26-35
no account,4,critical/other,car (new),3380,A61,4-7 years,1,A92,A101,1,A121,37,A143,A152,1,A173,2,A191,A201,1,36-45
0-200 DM,36,all paid,domestic appliances,3990,A65,<1 year,3,A92,A101,2,A124,29,A141,A152,1,A171,1,A191,A201,1,26-35
0-200 DM,24,existing paid,car (used),11560,A61,1-4 years,1,A92,A101,4,A123,23,A143,A151,2,A174,1,A191,A201,0,18-25
<0 DM,18,existing paid,car (new),4380,A62,1-4 years,3,A93,A101,4,A123,35,A143,A152,1,A172,2,A192,A201,1,26-35
no account,6,critical/other,car (new),6761,A61,4-7 years,1,A93,A101,3,A124,45,A143,A152,2,A174,2,A192,A201,1,36-45
0-200 DM,30,no credits/all paid,business,4280,A62,1-4 years,4,A92,A101,4,A123,26,A143,A151,2,A172,1,A191,A201,0,26-35
<0 DM,24,all paid,car (new),2325,A62,4-7 years,2,A93,A101,3,A123,32,A141,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,10,all paid,radio/TV,1048,A61,1-4 years,4,A93,A101,4,A121,23,A142,A152,1,A172,1,A191,A201,1,18-25
no account,21,existing paid,radio/TV,3160,A65,>=7 years,4,A93,A101,3,A122,41,A143,A152,1,A173,1,A192,A201,1,36-45
<0 DM,24,all paid,furniture/equipment,2483,A63,1-4 years,4,A93,A101,4,A121,22,A142,A152,1,A173,1,A192,A201,1,18-25
<0 DM,39,critical/other,furniture/equipment,14179,A65,4-7 years,4,A93,A101,4,A122,30,A143,A152,2,A174,1,A192,A201,1,26-35
<0 DM,13,critical/other,business,1797,A61,<1 year,3,A93,A101,1,A122,28,A141,A152,2,A172,1,A191,A201,1,26-35
<0 DM,15,existing paid,car (new),2511,A61,unemployed,1,A92,A101,4,A123,23,A143,A151,1,A173,1,A191,A201,1,18-25
<0 DM,12,existing paid,car (new),1274,A61,<1 year,3,A92,A101,1,A121,37,A143,A152,1,A172,1,A191,A201,0,36-45
no account,21,existing paid,car (used),5248,A65,1-4 years,1,A93,A101,3,A123,26,A143,A152,1,A173,1,A191,A201,1,26-35
no account,15,existing paid,car (used),3029,A61,4-7 years,2,A93,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,6,existing paid,furniture/equipment,428,A61,>=7 years,2,A92,A101,1,A122,49,A141,A152,1,A173,1,A192,A201,1,46-55
<0 DM,18,existing paid,car (new),976,A61,<1 year,1,A92,A101,2,A123,23,A143,A152,1,A172,1,A191,A201,0,18-25
0-200 DM,12,existing paid,business,841,A62,4-7 years,2,A92,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,1,18-25
no account,30,critical/other,radio/TV,5771,A61,4-7 years,4,A92,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,1,18-25
no account,12,delay paid,repairs,1555,A64,>=7 years,4,A93,A101,4,A124,55,A143,A153,2,A173,2,A191,A201,0,46-55
<0 DM,24,existing paid,car (new),1285,A65,4-7 years,4,A92,A101,4,A124,32,A143,A151,1,A173,1,A191,A201,0,26-35
>=200 DM,6,critical/other,car (new),1299,A61,1-4 years,1,A93,A101,1,A121,74,A143,A152,3,A171,2,A191,A202,1,66+
>=200 DM,15,critical/other,radio/TV,1271,A65,1-4 years,3,A93,A101,4,A124,39,A143,A153,2,A173,1,A192,A201,0,36-45
no account,24,existing paid,car (new),1393,A61,1-4 years,2,A93,A103,2,A121,31,A143,A152,1,A173,1,A192,A201,1,26-35
<0 DM,12,critical/other,car (new),691,A61,>=7 years,4,A93,A101,3,A122,35,A143,A152,2,A173,1,A191,A201,0,26-35
no account,15,critical/other,car (new),5045,A65,>=7 years,1,A92,A101,4,A123,59,A143,A152,1,A173,1,A192,A201,1,56-65
<0 DM,18,critical/other,furniture/equipment,2124,A61,1-4 years,4,A92,A101,4,A121,24,A143,A151,2,A173,1,A191,A201,0,18-25
<0 DM,12,existing paid,radio/TV,2214,A61,1-4 years,4,A93,A101,3,A122,24,A143,A152,1,A172,1,A191,A201,1,18-25
no account,21,critical/other,car (new),12680,A65,>=7 years,4,A93,A101,4,A124,30,A143,A153,1,A174,1,A192,A201,0,26-35
no account,24,critical/other,car (new),2463,A62,4-7 years,4,A94,A101,3,A122,27,A143,A152,2,A173,1,A192,A201,1,26-35
0-200 DM,12,existing paid,radio/TV,1155,A61,>=7 years,3,A94,A103,3,A121,40,A141,A152,2,A172,1,A191,A201,1,36-45
<0 DM,30,existing paid,furniture/equipment,3108,A61,<1 year,2,A91,A101,4,A122,31,A143,A152,1,A172,1,A191,A201,0,26-35
no account,10,existing paid,car (used),2901,A65,<1 year,1,A92,A101,4,A121,31,A143,A151,1,A173,1,A191,A201,1,26-35
0-200 DM,12,critical/other,furniture/equipment,3617,A61,>=7 years,1,A93,A101,4,A123,28,A143,A151,3,A173,1,A192,A201,1,26-35
no account,12,critical/other,radio/TV,1655,A61,>=7 years,2,A93,A101,4,A121,63,A143,A152,2,A172,1,A192,A201,1,56-65
<0 DM,24,existing paid,car (used),2812,A65,>=7 years,2,A92,A101,4,A121,26,A143,A151,1,A173,1,A191,A201,1,26-35
<0 DM,36,critical/other,education,8065,A61,1-4 years,3,A92,A101,2,A124,25,A143,A152,2,A174,1,A192,A201,0,18-25
no account,21,critical/other,car (used),3275,A61,>=7 years,1,A93,A101,4,A123,36,A143,A152,1,A174,1,A192,A201,1,36-45
no account,24,critical/other,radio/TV,2223,A62,>=7 years,4,A93,A101,4,A122,52,A141,A152,2,A173,1,A191,A201,1,46-55
>=200 DM,12,critical/other,car (new),1480,A63,unemployed,2,A93,A101,4,A124,66,A141,A153,3,A171,1,A191,A201,1,66+
<0 DM,24,existing paid,car (new),1371,A65,1-4 years,4,A92,A101,4,A121,25,A143,A151,1,A173,1,A191,A201,0,18-25
no account,36,critical/other,car (new),3535,A61,4-7 years,4,A93,A101,4,A123,37,A143,A152,2,A173,1,A192,A201,1,36-45
<0 DM,18,existing paid,radio/TV,3509,A61,4-7 years,4,A92,A103,1,A121,25,A143,A152,1,A173,1,A191,A201,1,18-25
no account,36,critical/other,car (used),5711,A64,>=7 years,4,A93,A101,2,A123,38,A143,A152,2,A174,1,A192,A201,1,36-45
0-200 DM,18,existing paid,repairs,3872,A61,unemployed,2,A92,A101,4,A123,67,A143,A152,1,A173,1,A192,A201,1,66+
0-200 DM,39,critical/other,radio/TV,4933,A61,4-7 years,2,A93,A103,2,A121,25,A143,A152,2,A173,1,A191,A201,0,18-25
no account,24,critical/other,car (new),1940,A64,>=7 years,4,A93,A101,4,A121,60,A143,A152,1,A173,1,A192,A201,1,56-65
0-200 DM,12,no credits/all paid,retraining,1410,A61,1-4 years,2,A93,A101,2,A121,31,A143,A152,1,A172,1,A192,A201,1,26-35
0-200 DM,12,existing paid,car (new),836,A62,<1 year,4,A92,A101,2,A122,23,A141,A152,1,A172,1,A191,A201,0,18-25
0-200 DM,20,existing paid,car (used),6468,A65,unemployed,1,A91,A101,4,A121,60,A143,A152,1,A174,1,A192,A201,1,56-65
0-200 DM,18,existing paid,business,1941,A64,1-4 years,4,A93,A101,2,A122,35,A143,A152,1,A172,1,A192,A201,1,26-35
no account,22,existing paid,radio/TV,2675,A63,>=7 years,3,A93,A101,4,A123,40,A143,A152,1,A173,1,A191,A201,1,36-45
no account,48,critical/other,car (used),2751,A65,>=7 years,4,A93,A101,3,A123,38,A143,A152,2,A173,2,A192,A201,1,36-45
0-200 DM,48,delay paid,education,6224,A61,>=7 years,4,A93,A101,4,A124,50,A143,A153,1,A173,1,A191,A201,0,46-55
<0 DM,40,critical/other,education,5998,A61,1-4 years,4,A93,A101,3,A124,27,A141,A152,1,A173,1,A192,A201,0,26-35
0-200 DM,21,existing paid,business,1188,A61,>=7 years,2,A92,A101,4,A122,39,A143,A152,1,A173,2,A191,A201,0,36-45
no account,24,existing paid,car (used),6313,A65,>=7 years,3,A93,A101,4,A123,41,A143,A152,1,A174,2,A192,A201,1,36-45
no account,6,critical/other,furniture/equipment,1221,A65,1-4 years,1,A94,A101,2,A122,27,A143,A152,2,A173,1,A191,A201,1,26-35
>=200 DM,24,existing paid,furniture/equipment,2892,A61,>=7 years,3,A91,A101,4,A124,51,A143,A153,1,A173,1,A191,A201,1,46-55
no account,24,existing paid,furniture/equipment,3062,A63,>=7 years,4,A93,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,1,26-35
no account,9,existing paid,furniture/equipment,2301,A62,<1 year,2,A92,A101,4,A122,22,A143,A151,1,A173,1,A191,A201,1,18-25
<0 DM,18,existing paid,car (used),7511,A65,>=7 years,1,A93,A101,4,A122,51,A143,A153,1,A173,2,A192,A201,0,46-55
no account,12,critical/other,furniture/equipment,1258,A61,<1 year,2,A92,A101,4,A122,22,A143,A151,2,A172,1,A191,A201,1,18-25
no account,24,delay paid,car (new),717,A65,>=7 years,4,A94,A101,4,A123,54,A143,A152,2,A173,1,A192,A201,1,46-55
0-200 DM,9,existing paid,car (new),1549,A65,<1 year,4,A93,A101,2,A121,35,A143,A152,1,A171,1,A191,A201,1,26-35
no account,24,critical/other,education,1597,A61,>=7 years,4,A93,A101,4,A124,54,A143,A153,2,A173,2,A191,A201,1,46-55
0-200 DM,18,critical/other,radio/TV,1795,A61,>=7 years,3,A92,A103,4,A121,48,A141,A151,2,A172,1,A192,A201,1,46-55
<0 DM,20,critical/other,furniture/equipment,4272,A61,>=7 years,1,A92,A101,4,A122,24,A143,A152,2,A173,1,A191,A201,1,18-25
no account,12,critical/other,radio/TV,976,A65,>=7 years,4,A93,A101,4,A123,35,A143,A152,2,A173,1,A191,A201,1,26-35
